profissao_atual,anos_experiencia,nivel_atual,objetivo_principal,area_interesse,tempo_disponivel_estudo,num_habilidades,habilidades_atuais,motivacao,score_adequacao
Gerente de Projetos,11,Sênior,Atualizar Carreira,DevOps,20,5,"Docker,AWS,Kubernetes,Linux,Terraform",7,100.0
Gerente de Projetos,18,Sênior,Atualizar Carreira,DevOps,20,3,"Git,Terraform,Kubernetes",7,100.0
Administrador de Redes,11,Sênior,Realocar Carreira,DevOps,10,5,"Docker,AWS,Terraform,Linux,Kubernetes",10,100.0
Designer,19,Sênior,Realocar Carreira,Data Science,20,4,"Estatística,SQL,R,Python",8,100.0
Administrador de Redes,13,Sênior,Atualizar Carreira,Segurança da Informação,10,5,"Firewall,Pentest,OWASP,Criptografia,SIEM",6,100.0
Gerente de Projetos,19,Sênior,Realocar Carreira,Desenvolvimento Web,10,5,"React,HTML,CSS,Python,JavaScript",5,100.0
Designer,4,Pleno,Realocar Carreira,Segurança da Informação,10,5,"Pentest,OWASP,Firewall,Criptografia,SIEM",10,100.0
DBA,4,Pleno,Realocar Carreira,Mobile,20,2,"Swift,React Native",10,100.0
DBA,11,Sênior,Realocar Carreira,Mobile,20,2,"Swift,Android",10,100.0
Gerente de Projetos,4,Pleno,Atualizar Carreira,DevOps,10,4,"Git,Kubernetes,Docker,Linux",6,100.0
Suporte Técnico,6,Pleno,Realocar Carreira,Segurança da Informação,20,2,"Firewall,Criptografia",5,100.0
Suporte Técnico,7,Sênior,Realocar Carreira,Segurança da Informação,15,2,"Pentest,SIEM",5,97.39
Administrador de Redes,0,Júnior,Realocar Carreira,UX/UI Design,20,2,"Sketch,Figma",8,90.83
DBA,8,Sênior,Realocar Carreira,Inteligência Artificial,30,5,"PyTorch,TensorFlow,NLP,Computer Vision,Python",7,100.0
Designer,0,Júnior,Atualizar Carreira,Mobile,10,5,"Kotlin,Android,Swift,iOS,React Native",7,100.0
Designer,5,Pleno,Realocar Carreira,Mobile,5,3,"React Native,Swift,iOS",8,95.59
DBA,14,Sênior,Atualizar Carreira,DevOps,10,4,"AWS,Linux,Docker,Kubernetes",5,100.0
Administrador de Redes,18,Sênior,Realocar Carreira,Desenvolvimento Web,20,4,"Python,HTML,Java,CSS",9,100.0
Administrador de Redes,6,Pleno,Atualizar Carreira,Cloud Computing,15,5,"Serverless,AWS,Containers,Azure,GCP",7,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,Segurança da Informação,10,5,"Pentest,Firewall,OWASP,Criptografia,SIEM",5,100.0
Analista de Dados,16,Sênior,Realocar Carreira,UX/UI Design,20,3,"Design Thinking,Adobe XD,Figma",6,100.0
Administrador de Redes,16,Sênior,Atualizar Carreira,Segurança da Informação,20,5,"Criptografia,Pentest,SIEM,Firewall,OWASP",6,100.0
Gerente de Projetos,10,Sênior,Realocar Carreira,UX/UI Design,15,5,"Figma,Sketch,Prototipagem,Adobe XD,Design Thinking",10,100.0
Analista de Sistemas,5,Pleno,Atualizar Carreira,Cloud Computing,30,2,"Containers,GCP",9,100.0
DBA,7,Sênior,Realocar Carreira,Inteligência Artificial,10,5,"PyTorch,Python,TensorFlow,NLP,Computer Vision",9,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,Data Science,20,5,"Estatística,SQL,NumPy,R,Pandas",10,100.0
DBA,4,Pleno,Realocar Carreira,Desenvolvimento Web,10,3,"Python,CSS,React",9,100.0
QA Tester,14,Sênior,Realocar Carreira,Data Science,5,5,"Estatística,Machine Learning,NumPy,R,Python",9,100.0
Designer,14,Sênior,Realocar Carreira,Mobile,20,2,"iOS,Android",9,100.0
Designer,7,Sênior,Realocar Carreira,Segurança da Informação,15,5,"Firewall,Criptografia,OWASP,SIEM,Pentest",10,100.0
Analista de Sistemas,4,Pleno,Atualizar Carreira,Desenvolvimento Web,10,5,"React,JavaScript,Python,HTML,Java",8,100.0
Analista de Dados,9,Sênior,Atualizar Carreira,Inteligência Artificial,5,5,"PyTorch,Python,TensorFlow,NLP,Computer Vision",5,100.0
Desenvolvedor,2,Júnior,Realocar Carreira,Desenvolvimento Web,20,2,"CSS,HTML",8,100.0
Analista de Sistemas,11,Sênior,Realocar Carreira,UX/UI Design,10,3,"Design Thinking,Figma,Sketch",5,100.0
Suporte Técnico,0,Júnior,Realocar Carreira,UX/UI Design,20,3,"Adobe XD,Sketch,Figma",8,100.0
Desenvolvedor,20,Sênior,Realocar Carreira,Mobile,15,4,"Android,iOS,Kotlin,Swift",5,100.0
Analista de Sistemas,9,Sênior,Realocar Carreira,Segurança da Informação,5,3,"Criptografia,Pentest,OWASP",5,95.11
Designer,10,Sênior,Realocar Carreira,Data Science,20,5,"NumPy,Estatística,Python,R,Machine Learning",6,100.0
Gerente de Projetos,16,Sênior,Realocar Carreira,Segurança da Informação,25,2,"SIEM,Pentest",8,100.0
Suporte Técnico,8,Sênior,Atualizar Carreira,DevOps,10,4,"Terraform,Linux,Kubernetes,CI/CD",7,100.0
Desenvolvedor,7,Sênior,Realocar Carreira,UX/UI Design,25,4,"Prototipagem,Design Thinking,Adobe XD,Figma",9,100.0
Administrador de Redes,5,Pleno,Atualizar Carreira,DevOps,10,4,"Kubernetes,Git,Linux,CI/CD",10,100.0
DBA,3,Pleno,Realocar Carreira,UX/UI Design,20,3,"Design Thinking,Adobe XD,Prototipagem",7,100.0
QA Tester,4,Pleno,Atualizar Carreira,Desenvolvimento Web,15,3,"Python,React,Java",6,100.0
Analista de Dados,16,Sênior,Realocar Carreira,UX/UI Design,10,5,"Sketch,Figma,Prototipagem,Adobe XD,Design Thinking",9,100.0
Designer,14,Sênior,Realocar Carreira,Data Science,25,3,"NumPy,Pandas,SQL",5,100.0
Desenvolvedor,9,Sênior,Atualizar Carreira,Desenvolvimento Web,15,3,"HTML,React,CSS",9,100.0
DBA,3,Pleno,Realocar Carreira,Mobile,5,4,"Android,React Native,iOS,Swift",5,83.76
QA Tester,14,Sênior,Realocar Carreira,Inteligência Artificial,30,3,"NLP,TensorFlow,Computer Vision",10,100.0
QA Tester,20,Sênior,Atualizar Carreira,Segurança da Informação,15,5,"Firewall,OWASP,SIEM,Criptografia,Pentest",8,100.0
Gerente de Projetos,13,Sênior,Atualizar Carreira,DevOps,25,5,"Linux,CI/CD,Docker,Git,Kubernetes",10,100.0
Analista de Sistemas,7,Sênior,Realocar Carreira,UX/UI Design,20,4,"Prototipagem,Adobe XD,Sketch,Figma",10,100.0
Designer,15,Sênior,Realocar Carreira,UX/UI Design,30,5,"Prototipagem,Sketch,Design Thinking,Adobe XD,Figma",8,100.0
QA Tester,3,Pleno,Atualizar Carreira,Desenvolvimento Web,20,4,"Java,React,Python,HTML",10,100.0
Administrador de Redes,11,Sênior,Atualizar Carreira,Segurança da Informação,20,3,"Firewall,OWASP,Criptografia",9,100.0
Suporte Técnico,17,Sênior,Realocar Carreira,Data Science,20,5,"Estatística,Python,NumPy,R,SQL",5,100.0
Analista de Dados,8,Sênior,Atualizar Carreira,Cloud Computing,25,3,"AWS,Azure,Serverless",10,100.0
